date,rcp26,rcp45,rcp60,rcp85,ssp119,ssp126,ssp245,ssp370,ssp434,ssp460,ssp585
1765-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1766-01-01,0.0362356726075043,0.0362356726075043,0.0362356726075043,0.0362356726075043,0.0129419854744011,0.0129419854744011,0.0129419854744011,0.0129419854744011,0.0129419854744011,0.0129419854744011,0.0129419854744011
1767-01-01,0.051245640646958,0.051245640646958,0.051245640646958,0.051245640646958,-0.0206762927487274,-0.0206762927487274,-0.0206762927487274,-0.0206762927487274,-0.0206762927487274,-0.0206762927487274,-0.0206762927487274
1768-01-01,0.063496266633894,0.063496266633894,0.063496266633894,0.063496266633894,-0.0235045886048274,-0.0235045886048274,-0.0235045886048274,-0.0235045886048274,-0.0235045886048274,-0.0235045886048274,-0.0235045886048274
1769-01-01,0.0757622230494527,0.0757622230494527,0.0757622230494527,0.0757622230494527,0.0134105256466713,0.0134105256466713,0.0134105256466713,0.0134105256466713,0.0134105256466713,0.0134105256466713,0.0134105256466713
1770-01-01,0.0761105912143094,0.0761105912143094,0.0761105912143094,0.0761105912143094,0.0316725271657026,0.0316725271657026,0.0316725271657026,0.0316725271657026,0.0316725271657026,0.0316725271657026,0.0316725271657026
1771-01-01,0.0766722223395189,0.0766722223395189,0.0766722223395189,0.0766722223395189,0.0390472485847931,0.0390472485847931,0.0390472485847931,0.0390472485847931,0.0390472485847931,0.0390472485847931,0.0390472485847931
1772-01-01,0.0827126509544394,0.0827126509544394,0.0827126509544394,0.0827126509544394,0.0436319459648657,0.0436319459648657,0.0436319459648657,0.0436319459648657,0.0436319459648657,0.0436319459648657,0.0436319459648657
1773-01-01,0.0870515654732575,0.0870515654732575,0.0870515654732575,0.0870515654732575,0.0469536913231124,0.0469536913231124,0.0469536913231124,0.0469536913231124,0.0469536913231124,0.0469536913231124,0.0469536913231124
1774-01-01,0.0891145394464101,0.0891145394464101,0.0891145394464101,0.0891145394464101,0.0459462287416054,0.0459462287416054,0.0459462287416054,0.0459462287416054,0.0459462287416054,0.0459462287416054,0.0459462287416054
1775-01-01,0.0913161401259409,0.0913161401259409,0.0913161401259409,0.0913161401259409,0.0449988116891567,0.0449988116891567,0.0449988116891567,0.0449988116891567,0.0449988116891567,0.0449988116891567,0.0449988116891567
